sequence,decision,ct_entry,completed_slot,completed_id,replacement_id,ndtr_guard,free_depth_after_take,ready_depth_after_publish,nominal_to_decision_cycles,nominal_to_irq_exit_cycles,final_window_cycles,mapping_epoch_after,m0_before,m1_before,m0_after,m1_after,processing_begin_offset_cycles,processing_end_offset_cycles,release_commit_offset_cycles,raw_min,raw_max,processed_ok
27,1,1,0,2,0,251,1,1,6480,11507,1072,28,536875608,536876128,536874568,536876128,6234835,6249282,6250872,0,7,1
28,1,0,1,3,1,251,1,1,6462,11492,1073,29,536874568,536876128,536874568,536875088,6465215,6479779,6481401,0,9,1
29,1,1,0,0,2,251,1,1,6476,11504,1074,30,536874568,536875088,536875608,536875088,6695637,6710083,6711673,0,8,1
30,1,0,1,1,3,251,1,1,6462,11499,1071,31,536875608,536875088,536875608,536876128,6926026,6940464,6942058,0,8,1
31,1,1,0,2,0,251,1,1,6484,11511,1074,32,536875608,536876128,536874568,536876128,7156439,7171520,7173141,0,9,1
32,1,0,1,3,1,251,1,1,6454,11485,1071,33,536874568,536876128,536874568,536875088,7386808,7401250,7402841,0,6,1
33,1,1,0,0,2,251,1,1,6472,11500,1072,34,536874568,536875088,536875608,536875088,7617229,7631670,7633260,0,6,1
34,1,0,1,1,3,251,1,1,6462,11499,1071,35,536875608,536875088,536875608,536876128,7847626,7862070,7863664,0,8,1
35,1,1,0,2,0,251,1,1,6480,11507,1072,36,536875608,536876128,536874568,536876128,8078266,8092964,8094586,0,10,1
36,1,0,1,3,1,251,1,1,6454,11485,1071,37,536874568,536876128,536874568,536875088,8308408,8322850,8324441,0,10,1
37,1,1,0,0,2,251,1,1,6476,11504,1074,38,536874568,536875088,536875608,536875088,8538837,8553280,8554870,0,8,1
38,1,0,1,1,3,251,1,1,6462,11499,1071,39,536875608,536875088,536875608,536876128,8769226,8783668,8785262,0,8,1
39,1,1,0,2,0,251,1,1,6800,11835,1072,40,536875608,536876128,536874568,536876128,8999974,9014407,9015998,0,8,1
40,1,0,1,3,1,251,1,1,6454,11485,1071,41,536874568,536876128,536874568,536875088,9230008,9244451,9246041,0,9,1
41,1,1,0,0,2,251,1,1,6472,11500,1072,42,536874568,536875088,536875608,536875088,9460429,9474869,9476459,0,7,1
42,1,0,1,1,3,251,1,1,6462,11499,1071,43,536875608,536875088,536875608,536876128,9691334,9705776,9707370,0,7,1
43,1,1,0,2,0,251,1,1,6484,11511,1074,44,536875608,536876128,536874568,536876128,9921239,9935680,9937270,0,8,1
44,1,0,1,3,1,251,1,1,6454,11485,1071,45,536874568,536876128,536874568,536875088,10151608,10166051,10167641,0,8,1
45,1,1,0,0,2,251,1,1,6472,11500,1072,46,536874568,536875088,536875608,536875088,10382029,10396476,10398066,0,10,1
46,1,0,1,1,3,251,1,1,6470,11823,1073,47,536875608,536875088,536875608,536876128,10612749,10627198,10628794,0,9,1
47,1,1,0,2,0,251,1,1,6480,11507,1072,48,536875608,536876128,536874568,536876128,10842835,10857276,10858866,0,8,1
48,1,0,1,3,1,251,1,1,6454,11485,1071,49,536874568,536876128,536874568,536875088,11073208,11087656,11089246,0,10,1
49,1,1,0,0,2,251,1,1,6472,11500,1072,50,536874568,536875088,536875608,536875088,11303629,11318347,11319968,0,9,1
50,1,0,1,1,3,251,1,1,6462,11499,1071,51,536875608,536875088,536875608,536876128,11534026,11548472,11550066,0,8,1
51,1,1,0,2,0,251,1,1,6480,11507,1072,52,536875608,536876128,536874568,536876128,11764435,11778876,11780466,0,8,1
52,1,0,1,3,1,251,1,1,6454,11485,1071,53,536874568,536876128,536874568,536875088,11994808,12009250,12010841,0,9,1
53,1,1,0,0,2,251,1,1,6480,11508,1074,54,536874568,536875088,536875608,536875088,12225236,12239992,12241614,0,5,1
54,1,0,1,1,3,251,1,1,6462,11499,1071,55,536875608,536875088,536875608,536876128,12455626,12470068,12471662,0,6,1
55,1,1,0,2,0,251,1,1,6480,11507,1072,56,536875608,536876128,536874568,536876128,12686035,12700476,12702066,0,8,1
56,1,0,1,3,1,251,1,1,6454,11485,1071,57,536874568,536876128,536874568,536875088,12916408,12931376,12932998,0,7,1
57,1,1,0,0,2,251,1,1,6472,11500,1072,58,536874568,536875088,536875608,536875088,13146829,13161275,13162866,0,9,1
58,1,0,1,1,3,251,1,1,6462,11499,1071,59,536875608,536875088,536875608,536876128,13377226,13391674,13393268,0,9,1
59,1,1,0,2,0,251,1,1,6484,11511,1074,60,536875608,536876128,536874568,536876128,13607639,13622083,13623673,0,8,1
60,1,0,1,3,1,251,1,1,6454,11485,1071,61,536874568,536876128,536874568,536875088,13838239,13853000,13854621,0,9,1
61,1,1,0,0,2,251,1,1,6472,11500,1072,62,536874568,536875088,536875608,536875088,14068429,14082868,14084458,0,7,1
62,1,0,1,1,3,251,1,1,6462,11499,1071,63,536875608,536875088,536875608,536876128,14298826,14313274,14314868,0,9,1
63,1,1,0,2,0,251,1,1,6480,11507,1072,64,536875608,536876128,536874568,536876128,14529235,14543677,14545816,0,8,1
64,1,0,1,3,1,251,1,1,6778,11808,1073,65,536874568,536876128,536874568,536875088,14759930,14774369,14775959,0,7,1
65,1,1,0,0,2,251,1,1,6476,11504,1074,66,536874568,536875088,536875608,536875088,14990037,15004487,15006077,0,9,1
66,1,0,1,1,3,251,1,1,6462,11499,1071,67,536875608,536875088,536875608,536876128,15220426,15234870,15236464,0,9,1
67,1,1,0,2,0,251,1,1,6484,11511,1074,68,536875608,536876128,536874568,536876128,15451348,15465790,15467379,0,7,1
68,1,0,1,3,1,251,1,1,6454,11485,1071,69,536874568,536876128,536874568,536875088,15681208,15695650,15697241,0,7,1
69,1,1,0,0,2,251,1,1,6476,11504,1074,70,536874568,536875088,536875608,536875088,15911637,15926080,15927670,0,7,1
70,1,0,1,1,3,251,1,1,6462,11499,1071,71,536875608,536875088,536875608,536876128,16142026,16156470,16158064,0,8,1
71,1,1,0,2,0,251,1,1,6488,11830,1074,72,536875608,536876128,536874568,536876128,16372760,16387201,16388792,0,8,1
72,1,0,1,3,1,251,1,1,6454,11485,1071,73,536874568,536876128,536874568,536875088,16602808,16617251,16618841,0,10,1
73,1,1,0,0,2,251,1,1,6476,11504,1074,74,536874568,536875088,536875608,536875088,16833237,16847680,16849270,0,8,1
74,1,0,1,1,3,251,1,1,6462,11499,1071,75,536875608,536875088,536875608,536876128,17063626,17078344,17079969,0,7,1
75,1,1,0,2,0,251,1,1,6480,11507,1072,76,536875608,536876128,536874568,536876128,17294035,17308481,17310072,0,6,1
76,1,0,1,3,1,251,1,1,6454,11485,1071,77,536874568,536876128,536874568,536875088,17524408,17538857,17540447,0,10,1
77,1,1,0,0,2,251,1,1,6472,11500,1072,78,536874568,536875088,536875608,536875088,17754829,17769271,17770861,0,8,1
78,1,0,1,1,3,251,1,1,6466,11503,1071,79,536875608,536875088,536875608,536876128,17985229,17999992,18001618,0,10,1
79,1,1,0,2,0,251,1,1,6480,11507,1072,80,536875608,536876128,536874568,536876128,18215635,18230080,18231670,0,8,1
80,1,0,1,3,1,251,1,1,6454,11485,1071,81,536874568,536876128,536874568,536875088,18446008,18460450,18462041,0,8,1
81,1,1,0,0,2,251,1,1,6476,11504,1074,82,536874568,536875088,536875608,536875088,18676437,18691634,18693256,0,9,1
82,1,0,1,1,3,251,1,1,6462,11499,1071,83,536875608,536875088,536875608,536876128,18906826,18921270,18922864,0,10,1
83,1,1,0,2,0,251,1,1,6480,11507,1072,84,536875608,536876128,536874568,536876128,19137235,19151680,19153270,0,8,1
84,1,0,1,3,1,251,1,1,6454,11485,1071,85,536874568,536876128,536874568,536875088,19367608,19382056,19383646,0,10,1
85,1,1,0,0,2,251,1,1,6472,11500,1072,86,536874568,536875088,536875608,536875088,19598260,19612949,19614571,0,9,1
86,1,0,1,1,3,251,1,1,6462,11499,1071,87,536875608,536875088,536875608,536876128,19828426,19842868,19844462,0,7,1
87,1,1,0,2,0,251,1,1,6480,11507,1072,88,536875608,536876128,536874568,536876128,20058835,20073274,20074864,0,6,1
88,1,0,1,3,1,251,1,1,6454,11485,1071,89,536874568,536876128,536874568,536875088,20289208,20303652,20305242,0,8,1
89,1,1,0,0,2,251,1,1,6796,11836,1075,90,536874568,536875088,536875608,536875088,20519975,20534416,20536004,0,8,1
90,1,0,1,1,3,251,1,1,6462,11499,1071,91,536875608,536875088,536875608,536876128,20750026,20764468,20766062,0,10,1
91,1,1,0,2,0,251,1,1,6480,11507,1072,92,536875608,536876128,536874568,536876128,20980435,20994877,20996467,0,9,1
92,1,0,1,3,1,251,1,1,6454,11485,1071,93,536874568,536876128,536874568,536875088,21211316,21225761,21227352,0,8,1
93,1,1,0,0,2,251,1,1,6472,11500,1072,94,536874568,536875088,536875608,536875088,21441229,21455674,21457264,0,10,1
94,1,0,1,1,3,251,1,1,6462,11499,1071,95,536875608,536875088,536875608,536876128,21671626,21686071,21687666,0,8,1
95,1,1,0,2,0,251,1,1,6480,11507,1072,96,536875608,536876128,536874568,536876128,21902035,21916479,21918069,0,8,1
96,1,0,1,3,1,251,1,1,6458,11823,1071,97,536874568,536876128,536874568,536875088,22132743,22147172,22148761,0,7,1
