sequence,decision,ct_entry,completed_slot,completed_id,replacement_id,ndtr_guard,free_depth_after_take,ready_depth_after_publish,nominal_to_decision_cycles,nominal_to_irq_exit_cycles,final_window_cycles,mapping_epoch_after,m0_before,m1_before,m0_after,m1_after,processing_begin_offset_cycles,processing_end_offset_cycles,release_commit_offset_cycles,raw_min,raw_max,processed_ok
75,1,1,0,4,6,251,7,1,6613,11806,1073,76,536876648,536877168,536877688,536877168,17294479,17308919,17310662,0,9,1
76,1,0,1,5,7,251,7,1,6603,11795,1072,77,536877688,536877168,536877688,536878208,17524865,17539310,17541054,0,8,1
77,1,1,0,6,8,251,7,1,6613,11806,1073,78,536877688,536878208,536878728,536878208,17755789,17770546,17772313,0,7,1
78,1,0,1,7,9,251,7,1,6603,11795,1072,79,536878728,536878208,536878728,536879248,17985665,18000110,18001854,0,9,1
79,1,1,0,8,0,251,7,1,6613,11812,1073,80,536878728,536879248,536874568,536879248,18216087,18230531,18232280,0,9,1
80,1,0,1,9,1,251,7,1,6615,11823,1073,81,536874568,536879248,536874568,536875088,18446498,18460941,18462689,0,8,1
81,1,1,0,0,2,251,7,1,6629,11828,1074,82,536874568,536875088,536875608,536875088,18676909,18691349,18693088,0,9,1
82,1,0,1,1,3,251,7,1,6603,11795,1072,83,536875608,536875088,536875608,536876128,18907265,18921705,18923449,0,6,1
83,1,1,0,2,4,251,7,1,6613,11806,1075,84,536875608,536876128,536876648,536876128,19137679,19152125,19153870,0,8,1
84,1,0,1,3,5,251,7,1,6603,11795,1072,85,536876648,536876128,536876648,536877168,19368575,19383333,19385100,0,6,1
85,1,1,0,4,6,251,7,1,6613,11806,1075,86,536876648,536877168,536877688,536877168,19598479,19612922,19614667,0,6,1
86,1,0,1,5,7,251,7,1,6603,11795,1072,87,536877688,536877168,536877688,536878208,19828865,19843312,19845056,0,8,1
87,1,1,0,6,8,251,7,1,6613,11806,1073,88,536877688,536878208,536878728,536878208,20059279,20073717,20075461,0,8,1
88,1,0,1,7,9,250,7,1,6931,12132,1074,89,536878728,536878208,536878728,536879248,20290004,20304446,20306190,0,9,1
89,1,1,0,8,0,251,7,1,6621,11820,1074,90,536878728,536879248,536874568,536879248,20520101,20534544,20536292,0,8,1
90,1,0,1,9,1,251,7,1,6615,11814,1073,91,536874568,536879248,536874568,536875088,20750488,20764930,20766678,0,9,1
91,1,1,0,0,2,251,7,1,6621,11820,1075,92,536874568,536875088,536875608,536875088,20980894,20995859,20997628,0,6,1
92,1,0,1,1,3,251,7,1,6603,11795,1072,93,536875608,536875088,536875608,536876128,21211265,21225710,21227454,0,8,1
93,1,1,0,2,4,251,7,1,6613,11806,1075,94,536875608,536876128,536876648,536876128,21441679,21456118,21457862,0,6,1
94,1,0,1,3,5,251,7,1,6603,11795,1072,95,536876648,536876128,536876648,536877168,21672065,21686505,21688249,0,9,1
95,1,1,0,4,6,251,7,1,6618,12121,1074,96,536876648,536877168,536877688,536877168,21902792,21917234,21918974,0,9,1
96,1,0,1,5,7,251,7,1,6603,11823,1072,97,536877688,536877168,536877688,536878208,22132892,22147315,22149058,0,9,1
